Initial Temp, Cooling Rate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
Initial Temp, Cooling Rate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
1E11,.95,8000,1, 93.392, 88.696, 83.630
1E11,.95,8000,2, 92.291, 89.565, 86.072
1E11,.95,8000,3, 94.053, 89.565, 85.171
1E11,.99,100,1, 68.282, 40.870, 1.012
1E11,.99,100,2, 68.282, 40.870, 1.027
1E11,.99,100,3, 68.282, 40.870, 1.021
1E11,.99,200,1, 68.282, 40.870, 2.032
1E11,.99,200,2, 31.718, 59.130, 2.039
1E11,.99,200,3, 73.128, 54.783, 2.020
1E11,.99,400,1, 31.718, 59.130, 4.147
1E11,.99,400,2, 68.282, 40.870, 4.116
1E11,.99,400,3, 74.009, 54.783, 4.085
1E11,.99,800,1, 31.718, 59.130, 8.430
1E11,.99,800,2, 14.978, 13.913, 8.186
1E11,.99,800,3, 67.841, 41.739, 8.144
1E11,.99,1200,1, 68.282, 40.870, 12.483
1E11,.99,1200,2, 68.282, 40.870, 12.577
1E11,.99,1200,3, 47.797, 66.957, 12.260
1E11,.99,2500,1, 31.718, 59.130, 26.283
1E11,.99,2500,2, 68.282, 40.870, 26.830
1E11,.99,2500,3, 31.718, 59.130, 26.701
1E11,.99,5000,1, 78.634, 72.174, 52.881
1E11,.99,5000,2, 91.850, 88.696, 55.972
1E11,.99,5000,3, 72.687, 49.565, 53.737
1E11,.99,8000,1, 90.308, 69.565, 86.461
1E11,.99,8000,2, 84.141, 77.391, 85.415
1E11,.99,8000,3, 89.648, 89.565, 86.575
1E13,90,100,1, 83.260, 73.913, 1.025
1E13,90,100,2, 31.718, 59.130, 1.007
1E13,90,100,3, 31.718, 59.130, 1.037
1E13,90,200,1, 51.322, 71.304, 2.014
1E13,90,200,2, 31.718, 59.130, 2.130
1E13,90,200,3, 31.718, 59.130, 2.040
1E13,90,400,1, 33.040, 61.739, 4.184
1E13,90,400,2, 68.282, 40.870, 4.173
1E13,90,400,3, 31.718, 59.130, 4.066
1E13,90,800,1, 68.062, 40.870, 8.295
1E13,90,800,2, 88.987, 81.739, 8.145
1E13,90,800,3, 71.366, 49.565, 8.241
1E13,90,1200,1, 69.163, 43.478, 12.482
1E13,90,1200,2, 90.749, 86.957, 12.403
1E13,90,1200,3, 91.189, 89.565, 12.622
1E13,90,2500,1, 85.683, 90.435, 25.983
1E13,90,2500,2, 90.749, 91.304, 26.594
1E13,90,2500,3, 83.921, 84.348, 25.329
1E13,90,5000,1, 92.731, 88.696, 52.779
1E13,90,5000,2, 92.511, 86.957, 52.692
