Population, Crossover, Mutate, Iteration, Train Accuracy Avg, Test Accuracy Avg, Train Time Avg, Train Accuracy Best, Test Accuracy Best, Train Time Best
Population, Crossover, Mutate, Iteration, Train Accuracy Avg, Test Accuracy Avg, Train Time Avg, Train Accuracy Best, Test Accuracy Best, Train Time Best
100,60,2,100,71.65933333333334,50.145,30.856333333333335,78.194,67.826,28.358
100,60,2,200,87.665,82.319,60.394666666666666,91.189,88.696,55.876
100,60,2,400,75.91766666666666,56.522,124.18033333333334,91.189,87.826,120.701
100,60,2,800,88.25266666666666,84.63766666666666,249.3853333333333,90.088,91.304,247.78
100,60,10,100,68.42866666666667,41.449666666666666,32.839333333333336,68.722,42.609,32.13
100,60,10,200,68.282,40.87,66.016,68.282,40.87,63.525
100,60,10,400,80.61666666666666,70.145,129.07333333333332,90.969,85.217,126.981
100,60,10,800,90.74899999999998,89.56533333333334,256.9173333333334,92.731,91.304,254.556
100,90,2,100,79.51533333333333,67.24666666666667,46.15133333333333,88.546,84.348,45.731
100,90,2,200,72.02633333333334,51.59433333333334,90.81733333333334,79.515,73.043,90.777
100,90,2,400,75.55066666666666,55.36266666666666,185.789,90.088,84.348,181.048
100,90,2,800,83.407,67.82600000000001,360.6913333333334,91.41,89.565,354.14
100,90,10,100,68.282,40.87,46.09566666666666,68.282,40.87,44.902
100,90,10,200,75.771,55.65233333333333,94.77199999999999,90.749,85.217,93.909
100,90,10,400,79.88233333333334,71.88433333333334,185.71366666666668,87.665,88.696,184.422
100,90,10,800,75.91766666666666,57.97133333333333,370.68833333333333,87.885,86.087,368.161
200,120,4,100,72.61366666666667,54.782999999999994,64.06366666666668,81.057,82.609,62.71
200,120,4,200,70.48466666666667,46.377,130.523,74.89,57.391,127.496
200,120,4,400,88.10566666666666,89.27533333333334,256.98066666666665,90.088,91.304,256.907
200,120,4,800,91.11599999999999,88.116,520.2093333333333,92.731,91.304,519.644
200,120,20,100,74.596,53.04366666666667,67.133,87.004,76.522,66.439
200,120,20,200,68.282,40.87,129.54666666666665,68.282,40.87,124.046
200,120,20,400,90.60199999999999,89.56500000000001,263.3086666666666,91.189,92.174,261.066
200,120,20,800,90.969,90.43466666666666,526.4586666666667,92.731,91.304,521.327
200,180,4,100,73.56833333333333,51.59433333333334,96.22733333333333,84.141,73.043,90.567
200,180,4,200,74.88999999999999,54.493,199.59966666666665,88.106,81.739,177.951
200,180,4,400,87.37133333333333,87.53633333333333,378.39733333333334,91.189,88.696,346.025
200,180,4,800,91.04233333333332,86.377,755.3396666666667,92.07,89.565,721.556
200,180,20,100,68.57566666666666,41.73933333333333,91.579,69.163,43.478,88.616
200,180,20,200,76.505,67.82633333333332,183.9623333333333,85.022,82.609,177.247
200,180,20,400,87.44466666666666,87.82633333333332,366.077,90.308,88.696,350.472
200,180,20,800,90.30833333333332,87.82633333333332,725.1773333333334,91.85,90.435,702.786
